microRNA ID	Chromosome	Start	Stop	Length	Strand	Total counts	Maximum counts	Geometric mean	Arithmetic mean	P-value (CE CL1-5 vs. CE CL1-0)	FDR step up (CE CL1-5 vs. CE CL1-0)	Ratio (CE CL1-5 vs. CE CL1-0)	Log2(Ratio) (CE CL1-5 vs. CE CL1-0)	Fold change (CE CL1-5 vs. CE CL1-0)	LSMean(CE CL1-5) (CE CL1-5 vs. CE CL1-0)	LSMean(CE CL1-0) (CE CL1-5 vs. CE CL1-0)	FC 95% lower limit (CE CL1-5 vs. CE CL1-0)	FC 95% upper limit (CE CL1-5 vs. CE CL1-0)
hsa-miR-10b-5p	2	176150329	176150352	23	+	9399.8737035905E0	2759.6040648976336E0	356.55764183388123E0	1174.9842129488125E0	2.139957666812242E-6	2.953141580200894E-5	0.01599985339562563E0	-5.965797503810391E0	-62.5005726785847E0	42.0381619504799E0	2627.4091980948583E0	-137.8762165961479E0	-28.3320915063475E0
hsa-miR-128-3p	2	135665446	135665467	21	+	18715.136058433498E0	4694.625241877648E0	1940.5041808651733E0	2339.3920073041872E0	0.04383745442778411E0	0.141051467030619E0	0.4214690353931982E0	-1.2465014521556899E0	-2.37265354278536E0	1960.4452393967335E0	4651.457343370039E0	-5.4638563202007395E0	-1.030313482673186E0
hsa-miR-155-5p	21	25573983	25574007	24	+	5580.8731666279145E0	1874.8383760020688E0	221.74991613045452E0	697.6091458284893E0	1.7447047442938312E-4	0.0013376069706252706E0	53.572638996881594E0	5.743424460086956E0	53.572638996881594E0	448.8924381543311E0	8.37913618327957E0	11.789087353251743E0	243.4478228120491E0
hsa-miR-181a-2-3p	9	124692518	124692540	22	+	5659.754643844868E0	1890.4581861125132E0	280.4117076261838E0	707.4693304806085E0	3.9633793808252974E-6	4.9722395868535546E-5	0.013807568708372221E0	-6.178396883297761E0	-72.42404663129794E0	22.29983258062083E0	1615.0441158570306E0	-175.96406192695665E0	-29.808601103046485E0
hsa-miR-192-5p	11	64891203	64891224	21	-	9741.127520142816E0	3882.1058847058603E0	578.2778287873692E0	1217.640940017852E0	0.0065664858192259245E0	0.03020583476843925E0	0.13910262272508056E0	-2.8457784733048657E0	-7.18893706250513E0	521.3492051197071E0	3747.9466244411296E0	-25.089496298526782E0	-2.059858654543595E0
hsa-miR-199a-3p	1	172144554	172144576	22	-	28945.663635724566E0	11383.224921667414E0	920.3178408506359E0	3618.2079544655708E0	1.7288474561283749E-6	2.953141580200894E-5	0.007135106376306627E0	-7.130849345861397E0	-140.1520800475625E0	74.4176795768496E0	10429.792593714183E0	-351.54137660227724E0	-55.87565745889818E0
hsa-miR-199b-3p	9	128244745	128244767	22	-	28361.20507255452E0	11137.989162007982E0	747.0117665304028E0	3545.150634069315E0	1.8348705884270666E-6	2.953141580200894E-5	0.00743669511111734E0	-7.071122658770917E0	-134.46833372327848E0	76.78339328129684E0	10324.934960701154E0	-337.1411292273562E0	-53.632533104916135E0
hsa-miR-19b-3p	13	91351245	91351268	23	+	105046.51199220424E0	37567.150647487855E0	5456.392411431377E0	13130.81399902553E0	0.03922651959046985E0	0.135331492587121E0	0.4723775063444113E0	-1.0819878267187484E0	-2.116950927106377E0	15970.342908136707E0	33808.43222986863E0	-4.28220759944584E0	-1.046535256337525E0
hsa-miR-203a-3p	14	104117469	104117491	22	+	36246.2592744802E0	27973.334994704383E0	919.8679845629423E0	4530.782409310025E0	6.401153749504061E-4	0.0046492590391134766E0	35.72975050388955E0	5.159053934697531E0	35.72975050388955E0	2119.8386199993183E0	59.32979068769055E0	7.728394931419354E0	165.18501996840104E0
hsa-miR-20b-5p	X	134169850	134169873	23	-	179133.23419911083E0	88857.05200200269E0	5651.279181370552E0	22391.654274888853E0	4.987083855428157E-7	1.3764351440981713E-5	0.02184716033923895E0	-5.516410417176167E0	-45.77253906101168E0	1746.80212610429E0	79955.56860059564E0	-83.77738324286389E0	-25.008245077531726E0
hsa-miR-22-3p	17	1713914	1713936	22	-	6840.208304291567E0	2118.248084231512E0	651.864150067052E0	855.0260380364459E0	0.0037228409975247263E0	0.018348287773514722E0	3.3262157976314377E0	1.733881770571448E0	3.3262157976314377E0	652.2686536902017E0	196.09931923908607E0	1.6773291798533094E0	6.5960287731836384E0
hsa-miR-221-3p	X	45746180	45746203	23	-	303829.6694660971E0	122359.97757149088E0	24367.84239078014E0	37978.708683262135E0	8.413102698212944E-4	0.0055286103445399346E0	3.6878994499462316E0	1.8827993214284557E0	3.6878994499462316E0	33059.338647221404E0	8964.273318356732E0	2.0650517794706396E0	6.586082968050384E0
hsa-miR-221-5p	X	45746221	45746243	22	-	1937.1361935337052E0	934.5212136315495E0	68.36063497806386E0	242.14202419171315E0	0.007037024918642083E0	0.031326110928148625E0	7.186165248276261E0	2.8452221109770908E0	7.186165248276261E0	31.064896951863943E0	4.322875395743154E0	2.023541072706314E0	25.520100220386432E0
hsa-miR-27a-5p	19	13836487	13836509	22	-	6368.919938465481E0	2492.056569684132E0	550.414058703798E0	796.1149923081852E0	0.018540474160244524E0	0.07052614592036302E0	2.5127551777748574E0	1.32927011371113E0	2.5127551777748574E0	442.56662279769625E0	176.12803135112608E0	1.2219304622172624E0	5.167183222502984E0
hsa-miR-296-5p	20	58817661	58817682	21	-	1229.1076640344033E0	355.5727954486682E0	102.79878131094428E0	153.63845800430042E0	0.04763609664118549E0	0.14882062329280762E0	3.4001196741220303E0	1.7655855258405944E0	3.4001196741220303E0	84.78292906773959E0	24.935277924330705E0	1.0555087806665822E0	10.952835267794491E0
hsa-miR-30a-3p	6	71403554	71403576	22	-	22418.45424799245E0	9492.7667355549E0	636.268676738541E0	2802.306780999056E0	4.5320918488994265E-7	1.3764351440981713E-5	0.01150219137300941E0	-6.441947443231615E0	-86.93995496776037E0	96.29647143583067E0	8372.010896498306E0	-174.65334489751774E0	-43.27747501332641E0
hsa-miR-30a-5p	6	71403595	71403617	22	-	20024.3760414882E0	8120.160760373711E0	673.8993983914842E0	2503.047005186025E0	2.537832501347195E-7	1.1674029506197097E-5	0.006380446414345957E0	-7.292126917532111E0	-156.72884545375612E0	42.34437338440159E0	6636.584757664833E0	-326.48904845377217E0	-75.23661548097961E0
hsa-miR-30b-5p	8	134800570	134800592	22	-	12870.49860670529E0	3247.5167382483364E0	1402.4176315965533E0	1608.8123258381613E0	0.032397228686718814E0	0.11463634766069734E0	2.401344215588052E0	1.263842218448911E0	2.401344215588052E0	2999.5046092347557E0	1249.093982162188E0	1.102342039461807E0	5.231093286212265E0
hsa-miR-30c-5p	1	40757300	40757323	23	+	9733.356475866925E0	4058.294682907782E0	789.4263635036473E0	1216.6695594833657E0	1.5839875868523635E-4	0.0012858252175625068E0	0.15133705679989068E0	-2.7241628018765596E0	-6.607766935247563E0	507.51704019663885E0	3353.5543183554214E0	-12.585913766507192E0	-3.469162802206938E0
hsa-miR-30e-5p	1	40754371	40754393	22	+	7630.84109212793E0	2152.3604537099645E0	779.8990953468062E0	953.8551365159913E0	0.015710772086391413E0	0.06343349789276491E0	0.3174952826867438E0	-1.6551929382624E0	-3.1496530957489792E0	614.4923974657148E0	1935.4378823670863E0	-7.482206385565163E0	-1.3258541815552722E0
hsa-miR-342-3p	14	100109715	100109738	23	+	5790.248579235033E0	1744.4395987788923E0	483.4435253344134E0	723.7810724043791E0	0.018909184051111822E0	0.07052614592036302E0	0.3712641902718961E0	-1.4294819259607638E0	-2.693499740084407E0	122.90228334359358E0	331.0372682971408E0	-5.864398171036781E0	-1.237116007174552E0
hsa-miR-34a-5p	1	9151735	9151757	22	-	6025.654916622976E0	2896.935933147632E0	194.03764527395825E0	753.206864577872E0	5.220936709577399E-6	5.7550253144378536E-5	196.40368006444362E0	7.617678151815226E0	196.40368006444362E0	815.1746510626426E0	4.1505059888302185E0	61.642903421961485E0	625.7720418975828E0
hsa-miR-363-3p	X	134169382	134169404	22	-	35048.242523386085E0	14602.30578747243E0	1686.121380034716E0	4381.030315423261E0	1.862847482201794E-5	1.836235375313197E-4	0.023446815854036875E0	-5.4144641759252785E0	-42.649714410062565E0	298.23303247745116E0	12719.553670871672E0	-111.15586497235378E0	-16.364391925808974E0
hsa-miR-378a-3p	5	149732867	149732889	22	+	7004.406871697489E0	1495.233941810479E0	777.509636677882E0	875.5508589621861E0	0.005789568842539086E0	0.027550362078289446E0	0.3220434103688002E0	-1.6346729229990702E0	-3.1051714390144243E0	348.18095527554715E0	1081.1615581372625E0	-6.25578200479992E0	-1.5413084500503296E0
hsa-miR-411-5p	14	101023340	101023361	21	+	4442.139095266836E0	1307.659296836567E0	132.2248903273891E0	555.2673869083545E0	2.0782331760391803E-6	2.953141580200894E-5	867.9568931506279E0	9.761479583156325E0	867.9568931506279E0	1250.6898340846699E0	1.4409584652478316E0	238.27819388225655E0	3161.6370599986694E0
hsa-miR-425-5p	3	49020199	49020222	23	-	10464.12692134597E0	3066.5440049064705E0	979.3639242561316E0	1308.0158651682461E0	0.029806754830334944E0	0.10824558333121637E0	0.4714027480389546E0	-1.0849679260943261E0	-2.1213283209739893E0	331.1233657642865E0	702.4213736212175E0	-4.087561803212387E0	-1.10090906560233E0
hsa-miR-4516	16	2133120	2133137	17	+	30232.740858889625E0	14261.83844011142E0	260.514892841761E0	3779.092607361203E0	0.04852846411721988E0	0.14882062329280762E0	8.287449208963013E0	3.0509281234512615E0	8.287449208963013E0	40.111118408130096E0	4.839983616481732E0	1.5163179167428966E0	45.2951281738282E0
hsa-miR-455-3p	9	114209487	114209508	21	+	1537.6379076263686E0	373.8084854526198E0	137.58338529559384E0	192.20473845329607E0	0.0032899197760571054E0	0.016815145522069648E0	7.477967337098101E0	2.902646169683712E0	7.477967337098101E0	229.10329730763942E0	30.637108575377056E0	2.393064471441949E0	23.367525681834753E0
hsa-miR-95-3p	4	8005312	8005334	22	-	4096.844948982065E0	1593.347857268508E0	245.6681826272653E0	512.1056186227581E0	0.0016044212957226558E0	0.00922542245040527E0	0.07062245350791964E0	-3.823729246867219E0	-14.159802588674712E0	104.89961536988356E0	1485.3578459302798E0	-52.30824499646875E0	-3.8330479136467783E0
hsa-miR-98-5p	X	53556299	53556321	22	-	4767.631485726446E0	1101.113324657472E0	424.1276458128132E0	595.9539357158058E0	0.0010188238263307355E0	0.0063908040015291595E0	9.892939999351654E0	3.3063993270684375E0	9.892939999351654E0	1029.3638388964664E0	104.05034687014529E0	3.3948663711014695E0	28.828899618519515E0
hsa-miR-99a-5p	21	16539101	16539123	22	+	17070.83929346821E0	6361.844172912639E0	379.0209015853184E0	2133.854911683526E0	1.0528281311992926E-7	7.264514105275119E-6	0.0015498614607632336E0	-9.333645023228756E0	-645.2189600917925E0	9.424578388553414E0	6080.91667380967E0	-1497.4934902214297E0	-278.0028822698761E0
