microRNA ID	Chromosome	Start	Stop	Length	Strand	Total counts	Maximum counts	Geometric mean	Arithmetic mean	P-value (EV CL1-5 vs. CE CL1-5)	FDR step up (EV CL1-5 vs. CE CL1-5)	Ratio (EV CL1-5 vs. CE CL1-5)	Log2(Ratio) (EV CL1-5 vs. CE CL1-5)	Fold change (EV CL1-5 vs. CE CL1-5)	LSMean(EV CL1-5) (EV CL1-5 vs. CE CL1-5)	LSMean(CE CL1-5) (EV CL1-5 vs. CE CL1-5)	FC 95% lower limit (EV CL1-5 vs. CE CL1-5)	FC 95% upper limit (EV CL1-5 vs. CE CL1-5)
hsa-miR-142-3p	17	58331245	58331268	23	-	14072.36187174821E0	7973.014412756823E0	259.1383612668898E0	1759.0452339685262E0	1.6378837357986913E-4	0.00125571086411233E0	27.981963887108375E0	4.806425315101391E0	27.981963887108375E0	1037.3660747162319E0	37.07266860602749E0	9.240412469019008E0	84.73542773167593E0
hsa-miR-142-5p	17	58331283	58331304	21	-	3850.002870000115E0	1839.9264029438823E0	45.33713487886719E0	481.25035875001436E0	2.495362762885727E-4	0.0014433651538047884E0	119.45414376641897E0	6.900313090346473E0	119.45414376641897E0	328.8435634688287E0	2.752885356963759E0	21.885867505139334E0	651.9866054940484E0
hsa-miR-143-3p	5	149428978	149428999	21	+	10134.953670009443E0	8586.323213738116E0	73.464247569624E0	1266.8692087511804E0	0.0019180554936055107E0	0.005882036847056899E0	93.34134921462086E0	6.544444415962448E0	93.34134921462086E0	481.34971639806577E0	5.156875490652624E0	9.782260023012167E0	890.6538420272947E0
hsa-miR-146a-5p	5	160485372	160485394	22	+	21153.712139249386E0	13799.448022079117E0	362.72600992429744E0	2644.2140174061733E0	0.0019921904048244387E0	0.005976571214473317E0	6.3658310334246435E0	2.6703488644077895E0	6.3658310334246435E0	538.9547607794054E0	84.66369241990367E0	2.449286566736247E0	16.545146368932862E0
hsa-miR-148a-3p	7	25949922	25949944	22	-	51966.636081678334E0	11099.894286721079E0	4698.469220974892E0	6495.829510209792E0	0.03843141404165113E0	0.07071380183663808E0	0.2706441040040607E0	-1.8855311356792752E0	-3.6948892852474486E0	2623.354544652948E0	9693.004600582712E0	-12.550648069470519E0	-1.0877690741281663E0
hsa-miR-15b-5p	3	160404607	160404629	22	+	33650.747594982124E0	8986.53799987865E0	3133.0479378370014E0	4206.3434493727655E0	0.0014340477292412801E0	0.005178444615452273E0	0.26730477538737146E0	-1.9034424833963857E0	-3.7410480173832465E0	2202.2329522861555E0	8238.659221801798E0	-7.262158514106595E0	-1.9271736139029823E0
hsa-miR-17-5p	13	91350618	91350641	23	+	12706.67459440427E0	3100.2829540260764E0	1294.6533741491492E0	1588.3343243005338E0	0.048226554200453485E0	0.08116176194710464E0	0.47797163875411014E0	-1.0650030788627256E0	-2.0921743445000605E0	1307.7053960580815E0	2735.9476801380797E0	-4.491837499020572E0	1.0261912139722085E0
hsa-miR-181a-2-3p	9	124692518	124692540	22	+	5659.754643844868E0	1890.4581861125132E0	280.4117076261838E0	707.4693304806085E0	6.234426824332417E-4	0.0027184379802708343E0	8.486719660523885E0	3.0852070220939654E0	8.486719660523885E0	189.25242765669174E0	22.29983258062083E0	3.4930006372305464E0	20.61963855048929E0
hsa-miR-186-5p	1	71067681	71067703	22	-	27476.251613599263E0	8223.786679957635E0	2855.8737921981715E0	3434.531451699908E0	0.0017700604574393231E0	0.0058159129315863475E0	3.240683708126763E0	1.6962982199817611E0	3.240683708126763E0	7425.185297568681E0	2291.240356926527E0	1.801785775208315E0	5.828678992042784E0
hsa-miR-191-5p	3	49020672	49020695	23	-	214587.17345654065E0	54402.63770364624E0	23567.206679985975E0	26823.39668206758E0	2.8282489928282224E-4	0.0015611934440411786E0	3.7704231656373666E0	1.9147264504717056E0	3.7704231656373666E0	50283.992828522394E0	13336.432174384921E0	2.2873004430839226E0	6.215226727629896E0
hsa-miR-193a-5p	17	31560016	31560038	22	+	2839.733529506572E0	1121.4254563578593E0	200.878672312516E0	354.9666911883215E0	0.003721380531095584E0	0.010069617907670404E0	7.123916525093954E0	2.832670611675557E0	7.123916525093954E0	835.4735246619914E0	117.27727598183083E0	2.401781373120826E0	21.130227432217513E0
hsa-miR-199a-3p	1	172144554	172144576	22	-	28945.663635724566E0	11383.224921667414E0	920.3178408506359E0	3618.2079544655708E0	0.010365058793107866E0	0.026988266291488407E0	4.079182800750681E0	2.028280160189325E0	4.079182800750681E0	303.56331867373166E0	74.4176795768496E0	1.6262835400632223E0	10.231753511625223E0
hsa-miR-19a-3p	13	91350939	91350962	23	+	35178.191427317885E0	11441.669952096685E0	2118.410596816546E0	4397.273928414736E0	1.9981574479165613E-4	0.001319624503712483E0	0.07816707216262955E0	-3.677295188789009E0	-12.79311060697607E0	753.7623279507461E0	9642.964836996405E0	-34.07391637863516E0	-4.8031954173880385E0
hsa-miR-19b-3p	13	91351245	91351268	23	+	105046.51199220424E0	37567.150647487855E0	5456.392411431377E0	13130.81399902553E0	5.783017255940037E-5	8.533771561154705E-4	0.10205036356815538E0	-3.2926467727123163E0	-9.799083168695816E0	1629.7792994553165E0	15970.342908136707E0	-19.821767181891058E0	-4.844271959502291E0
hsa-miR-200c-3p	12	6963742	6963765	23	+	5932.748259200098E0	4599.8160073597055E0	193.14948674016446E0	741.5935324000122E0	0.02349696559203035E0	0.049885865410772126E0	5.926963928346159E0	2.5672932772533783E0	5.926963928346159E0	270.06442662229813E0	45.565390612474744E0	1.360712596853287E0	25.81654751279131E0
hsa-miR-21-5p	17	59841273	59841295	22	+	720375.9753302493E0	152687.8315444615E0	74040.93599174259E0	90046.99691628116E0	0.0018427588058717468E0	0.005859370419522983E0	0.4229558381618498E0	-1.241421058943899E0	-2.3643130317008096E0	55442.14654745847E0	131082.58960667017E0	-3.676093984044626E0	-1.5206292701254327E0
hsa-miR-22-3p	17	1713914	1713936	22	-	6840.208304291567E0	2118.248084231512E0	651.864150067052E0	855.0260380364459E0	0.012868562234121143E0	0.03115546646155645E0	2.6396829337275896E0	1.4003646502617955E0	2.6396829337275896E0	1721.7824336337287E0	652.2686536902017E0	1.3311274672722477E0	5.234604620466135E0
hsa-miR-221-3p	X	45746180	45746203	23	-	303829.6694660971E0	122359.97757149088E0	24367.84239078014E0	37978.708683262135E0	0.003305393908750534E0	0.009122887188151473E0	2.9266595967125157E0	1.549254953914154E0	2.9266595967125157E0	96753.43073040538E0	33059.338647221404E0	1.6387929470756368E0	5.226612922830781E0
hsa-miR-221-5p	X	45746221	45746243	22	-	1937.1361935337052E0	934.5212136315495E0	68.36063497806386E0	242.14202419171315E0	8.796136680573878E-4	0.0035701966527035157E0	19.723941321767832E0	4.301875960863749E0	19.723941321767832E0	612.7222049538663E0	31.064896951863943E0	5.554033897261155E0	70.04528032433936E0
hsa-miR-222-3p	X	45747036	45747057	21	-	5973.718380774975E0	2554.357983926235E0	480.62548670489724E0	746.7147975968719E0	3.7765345373860743E-4	0.0018612920219974222E0	6.750484693270036E0	2.754991093196416E0	6.750484693270036E0	2069.1365818260606E0	306.51674289723906E0	3.2233086533115345E0	14.137350311536789E0
hsa-miR-23a-3p	19	13836595	13836616	21	-	36216.09249508817E0	8348.389508441842E0	4131.342911932699E0	4527.011561886021E0	0.02004180527737173E0	0.04390109727424284E0	2.5912990420320967E0	1.3736755155419167E0	2.5912990420320967E0	6436.9307252579E0	2484.055533465191E0	1.259449904772934E0	5.331558404815695E0
hsa-miR-23b-3p	9	95085265	95085288	23	+	13589.652586197992E0	3862.6876830104047E0	1300.7659782904416E0	1698.706573274749E0	0.016001336670161407E0	0.03755761238653141E0	3.22784871362069E0	1.6905729623753176E0	3.22784871362069E0	2998.0622278512074E0	928.8112589065513E0	1.3588670157548468E0	7.6674223431900845E0
hsa-miR-25-5p	7	100093610	100093631	21	-	22448.93186027503E0	13644.009719020622E0	553.7546849126786E0	2806.116482534379E0	1.0053320274219465E-6	1.387358197842286E-4	115.36683278155822E0	6.850084707872368E0	115.36683278155822E0	9812.048821237748E0	85.05086407242197E0	51.26872030860702E0	259.60285386357907E0
hsa-miR-27a-5p	19	13836487	13836509	22	-	6368.919938465481E0	2492.056569684132E0	550.414058703798E0	796.1149923081852E0	0.001868205061297183E0	0.005859370419522983E0	4.349286585389881E0	2.120778774724876E0	4.349286585389881E0	1924.8490761531598E0	442.56662279769625E0	2.115019328029807E0	8.943792404712143E0
hsa-miR-28-3p	3	188688834	188688856	22	+	13935.058764688642E0	4137.574347039049E0	1577.3893322193248E0	1741.8823455860802E0	0.041485323696036296E0	0.07323872971934389E0	2.5722922865210007E0	1.363054583706273E0	2.5722922865210007E0	2909.8562657879193E0	1131.2308016361544E0	1.1500365805218473E0	5.753458385030685E0
hsa-miR-29a-3p	7	130876748	130876770	22	-	459741.19222068187E0	110758.88200014654E0	44939.19744599501E0	57467.649027585234E0	0.0012880564321690352E0	0.004804102368630455E0	0.2928730865738011E0	-1.771652471320098E0	-3.4144482570883476E0	32112.237496084417E0	109645.57337245072E0	-6.265562979833472E0	-1.8607197689749368E0
hsa-miR-29b-3p	1	207802450	207802473	23	-	89433.80835026425E0	23937.701268931927E0	6899.0059215557285E0	11179.226043783032E0	9.125756473913698E-5	9.42930475482752E-4	0.12000518774608251E0	-3.0588313209387947E0	-8.332973088762525E0	2811.707774563998E0	23429.885227295206E0	-16.798311778189102E0	-4.133655894409532E0
hsa-miR-29c-3p	1	207801865	207801887	22	-	35986.30144586749E0	9797.7361605391E0	3285.131317118985E0	4498.287680733436E0	1.413103981409259E-4	0.0011712556387969528E0	0.19997883525588564E0	-2.3220807743229352E0	-5.000529174602084E0	1113.7565985406263E0	5569.372365921789E0	-8.661820631951276E0	-2.886840202371355E0
hsa-miR-30a-5p	6	71403595	71403617	22	-	20024.3760414882E0	8120.160760373711E0	673.8993983914842E0	2503.047005186025E0	4.430525191753458E-4	0.002108318884351646E0	5.99612195101956E0	2.5840297255709617E0	5.99612195101956E0	253.90202682917686E0	42.34437338440159E0	2.878397529821836E0	12.49079672943022E0
hsa-miR-30b-5p	8	134800570	134800592	22	-	12870.49860670529E0	3247.5167382483364E0	1402.4176315965533E0	1608.8123258381613E0	0.03291645657197928E0	0.06300255887070577E0	0.43166807450081074E0	-1.2120056976231663E0	-2.3165947612790667E0	1294.7903789409816E0	2999.5046092347557E0	-5.04647489682517E0	-1.0634376268000165E0
hsa-miR-3182	16	83508349	83508366	17	+	50598.30180743065E0	20247.959628683573E0	731.7776908978718E0	6324.787725928832E0	1.2339669827309422E-4	0.0011352496241124669E0	197.591746391397E0	7.626378875113861E0	197.591746391397E0	10996.749403170335E0	55.65389037845125E0	41.45313119067902E0	941.8467826329388E0
hsa-miR-320a-3p	8	22244975	22244997	22	-	19799.37409203822E0	9282.910722073391E0	1208.7341665088786E0	2474.9217615047774E0	1.0563874682628156E-5	4.8593823540089517E-4	17.538531832423192E0	4.1324560783179765E0	17.538531832423192E0	7340.57612648795E0	418.5399435411555E0	8.960555320725009E0	34.32824058632489E0
hsa-miR-320c	18	21683559	21683579	20	+	1034.6430683746155E0	373.8084854526198E0	43.05904136847069E0	129.33038354682694E0	8.273874284766948E-4	0.003459983791811633E0	32.813142418872786E0	5.036201858052891E0	32.813142418872786E0	235.39144210567375E0	7.173693971825173E0	7.548467788991016E0	142.63852552587355E0
hsa-miR-324-5p	17	7223343	7223365	22	-	1712.2478363044504E0	436.1098996947231E0	178.4055657777505E0	214.0309795380563E0	0.010814156195149574E0	0.027636176943160024E0	4.163741794590313E0	2.0578806058097365E0	4.163741794590313E0	315.02934860608923E0	75.66015475299207E0	1.6266413046305288E0	10.658001664328804E0
hsa-miR-339-5p	7	1022990	1023013	23	-	9596.378635717761E0	4174.194754220921E0	789.8451164184477E0	1199.5473294647202E0	0.0014634734782799903E0	0.005178444615452273E0	4.40816628210558E0	2.140178645380141E0	4.40816628210558E0	3202.302962835829E0	726.4478599713811E0	2.1939273590525183E0	8.857143738379976E0
hsa-miR-340-5p	5	180015361	180015383	22	-	15025.208182995328E0	3801.5385448099487E0	1034.261599376566E0	1878.151022874416E0	0.0015226722014258852E0	0.005253219094919303E0	0.17523001358595558E0	-2.512678192418986E0	-5.706784925343112E0	555.1171605725267E0	3167.9342446863175E0	-13.278749952389587E0	-2.452594882868677E0
hsa-miR-342-3p	14	100109715	100109738	23	+	5790.248579235033E0	1744.4395987788923E0	483.4435253344134E0	723.7810724043791E0	8.911771193714686E-5	9.42930475482752E-4	11.699569384984951E0	3.5483835257576306E0	11.699569384984951E0	1437.903792148691E0	122.90228334359358E0	5.373575630180177E0	25.472782596620405E0
hsa-miR-374a-5p	X	74287325	74287347	22	-	27171.264779903555E0	6586.444024994854E0	2054.902827474673E0	3396.4080974879444E0	2.2792184060501668E-4	0.0014296915456132866E0	0.15018369487920852E0	-2.735199903831441E0	-6.658512435749377E0	910.689956021195E0	6063.840399220618E0	-13.655991669898885E0	-3.2466179629236236E0
hsa-miR-378a-3p	5	149732867	149732889	22	+	7004.406871697489E0	1495.233941810479E0	777.509636677882E0	875.5508589621861E0	0.0030121646087363186E0	0.008659973250116916E0	3.632633390326109E0	1.8610157746038039E0	3.632633390326109E0	1264.8137642851207E0	348.18095527554715E0	1.8031238050488203E0	7.318424454029587E0
hsa-miR-423-3p	17	30117131	30117154	23	+	16784.085272479824E0	9719.020621768115E0	919.2697625325018E0	2098.010659059978E0	3.276003621340388E-4	0.0016959459040416303E0	16.971421075402365E0	4.085035466638834E0	16.971421075402365E0	6540.399889368671E0	385.37726788952386E0	6.0053464621807615E0	47.96211761178182E0
hsa-miR-423-5p	17	30117095	30117118	23	+	29388.612497306796E0	13394.80406205221E0	1918.7609154543202E0	3673.5765621633495E0	4.758273541287474E-5	8.208021858720892E-4	14.009052947857453E0	3.808287523631709E0	14.009052947857453E0	9655.121193167299E0	689.2058460197295E0	6.633596544337377E0	29.584790570870812E0
hsa-miR-424-5p	X	134546680	134546702	22	-	6233.699808177626E0	1325.1040580003419E0	733.8547350304739E0	779.2124760222033E0	0.018652495020225188E0	0.04151684375469477E0	0.440083421963238E0	-1.1841510687624897E0	-2.2722964558377163E0	555.1171605725267E0	1261.3907567184901E0	-4.318900691832878E0	-1.1955197749688025E0
hsa-miR-425-3p	3	49020159	49020181	22	-	3695.8943877206284E0	668.5236768802229E0	434.24481465805763E0	461.98679846507855E0	0.03440712258691491E0	0.0641646340134359E0	2.108929640353076E0	1.0765109636916042E0	2.108929640353076E0	507.8040536583537E0	240.78757483315042E0	1.07297649693253E0	4.14509007482894E0
hsa-miR-425-5p	3	49020199	49020222	23	-	10464.12692134597E0	3066.5440049064705E0	979.3639242561316E0	1308.0158651682461E0	6.303624302077297E-4	0.0027184379802708343E0	4.684177411388706E0	2.227795718384732E0	4.684177411388706E0	1551.0405907005402E0	331.1233657642865E0	2.430954853193002E0	9.02588462000622E0
hsa-miR-4443	3	48196572	48196589	17	+	7468.5178227265915E0	3676.8802228412255E0	80.3259340867613E0	933.5647278408239E0	1.7596711187523872E-4	0.0012780769178306812E0	29.412852241654843E0	4.878374787829352E0	29.412852241654843E0	191.60061258707358E0	6.514179954513764E0	8.928350713184999E0	96.89537348839292E0
hsa-miR-4454	4	163093607	163093627	20	-	3832.447494134671E0	1839.9264029438823E0	56.74012277210992E0	479.0559367668339E0	0.012037858810151156E0	0.02966472349644392E0	16.965936291248767E0	4.084569144474609E0	16.965936291248767E0	140.76522827732788E0	8.296932500131703E0	2.482448975580421E0	115.95122279256982E0
hsa-miR-4488	11	61508599	61508617	18	+	4134.627106306007E0	1308.3296990841693E0	45.96470796449303E0	516.8283882882508E0	9.565961345477195E-5	9.42930475482752E-4	316.7997344966746E0	8.307427316099787E0	316.7997344966746E0	1155.1992431288445E0	3.6464653098300914E0	42.16394850152496E0	2380.281623139107E0
hsa-miR-4516	16	2133120	2133137	17	+	30232.740858889625E0	14261.83844011142E0	260.514892841761E0	3779.092607361203E0	8.38533982890389E-5	9.42930475482752E-4	129.1564709311586E0	7.012976116207218E0	129.1564709311586E0	5180.610502948668E0	40.111118408130096E0	23.631188077073492E0	705.9058532725729E0
hsa-miR-501-3p	X	50009772	50009794	22	+	1956.157168425049E0	919.9632014719411E0	62.38609762146783E0	244.5196460531311E0	6.154703391874428E-4	0.0027184379802708343E0	17.62406158931893E0	4.1394745367120676E0	17.62406158931893E0	159.275813000831E0	9.037406736037752E0	5.0278181120195855E0	61.77780102298518E0
hsa-miR-589-5p	7	5495873	5495895	22	-	1825.9032964176138E0	484.8719937936385E0	187.2418427372399E0	228.23791205220172E0	0.016315287797245826E0	0.03755761238653141E0	3.7232139133750577E0	1.8965485071106511E0	3.7232139133750577E0	460.4909467441808E0	123.68103400873946E0	1.3462009219707074E0	10.297364693864951E0
hsa-miR-615-3p	12	54034010	54034032	22	+	3651.858826545849E0	1099.0431859322473E0	279.05051737632425E0	456.4823533182311E0	0.029427484531299012E0	0.061530194929079754E0	5.190563770262844E0	2.375891244631345E0	5.190563770262844E0	1016.7821997818984E0	195.89051295821662E0	1.2292911582675854E0	21.916656661822866E0
hsa-miR-671-5p	7	151238449	151238472	23	+	2077.8544951835042E0	623.014142421033E0	180.4791940039501E0	259.73181189793803E0	0.03925254989693257E0	0.0712743669181144E0	5.195156074975382E0	2.3771670918071877E0	5.195156074975382E0	376.1566703830016E0	72.4052684557924E0	1.4407892721962985E0	18.732542755687906E0
hsa-miR-744-5p	17	12081909	12081931	22	+	11416.394704023101E0	3551.180611799888E0	904.653123658514E0	1427.0493380028877E0	6.183892435619352E-5	8.533771561154705E-4	9.123136977952452E0	3.189529978377728E0	9.123136977952452E0	3165.556688108374E0	346.9811638887595E0	4.685187826438524E0	17.764843460235927E0
hsa-miR-7704	2	176188843	176188862	19	+	368850.4618248911E0	217111.3155473781E0	286.0584172661323E0	46106.30772811139E0	2.987607402446045E-6	2.061449107687771E-4	2400.6740860884333E0	11.229223842208272E0	2400.6740860884333E0	8008.280296173223E0	3.3358465157989485E0	496.59690267184686E0	11605.461162984557E0
hsa-miR-7977	3	176515103	176515121	18	+	5028.42007991806E0	2146.580803434529E0	258.8664009530523E0	628.5525099897575E0	1.442851149242623E-4	0.0011712556387969528E0	12.71931380759528E0	3.6689489358647656E0	12.71931380759528E0	697.0564813150454E0	54.8029942149426E0	5.2677047438064974E0	30.711847304330753E0
hsa-miR-9-5p	1	156420392	156420415	23	-	33946.739972220515E0	8642.774830715898E0	2596.7165982215365E0	4243.342496527564E0	0.04192651918716064E0	0.07323872971934389E0	0.47140074616832806E0	-1.0849740526919536E0	-2.1213373294978184E0	2622.455346907308E0	5563.112423042143E0	-4.789093436429466E0	1.0642259427627794E0
hsa-miR-92a-3p	13	91351361	91351383	22	+	54663.01197673418E0	16485.647788983708E0	5749.02293304725E0	6832.876497091773E0	0.0011096996800483046E0	0.0042538487735185E0	3.1220502192689494E0	1.6424937437564262E0	3.1220502192689494E0	14099.156833249564E0	4515.992966263135E0	1.8485110242938478E0	5.272999426855371E0
hsa-miR-92b-3p	1	155195237	155195259	22	+	3333.527363919694E0	1002.0687871735196E0	303.50916175360175E0	416.69092048996174E0	0.04095354688339486E0	0.07323872971934389E0	4.997731732840877E0	2.321273462831718E0	4.997731732840877E0	750.240050555173E0	150.1161107590824E0	1.1497547192833357E0	21.72404431530711E0
hsa-miR-93-3p	7	100093777	100093799	22	-	3430.8142521072145E0	1246.028284842066E0	224.61873766827864E0	428.8517815134018E0	2.0081242447798653E-4	0.001319624503712483E0	15.4249135387173E0	3.947190497544819E0	15.4249135387173E0	1140.210935800914E0	73.92008599672931E0	5.782178647420113E0	41.1484964725299E0
hsa-miR-99a-5p	21	16539101	16539123	22	+	17070.83929346821E0	6361.844172912639E0	379.0209015853184E0	2133.854911683526E0	4.14584030779392E-5	8.208021858720892E-4	18.49038896578787E0	4.208703668634928E0	18.49038896578787E0	174.26412032876135E0	9.424578388553414E0	7.966879066989662E0	42.91448147151515E0
hsa-miR-99b-3p	19	51692656	51692678	22	+	4551.002060327387E0	1260.6671838634602E0	434.5809414715828E0	568.8752575409234E0	0.02191094533159056E0	0.04724547587124215E0	3.04108396857671E0	1.6045856517441655E0	3.04108396857671E0	910.6899560211949E0	299.4622855732483E0	1.3142928299010903E0	7.036629504119156E0
hsa-miR-99b-5p	19	51692618	51692640	22	+	47947.48362019406E0	14643.134212567882E0	4792.002328171061E0	5993.435452524258E0	0.0010733007557644633E0	0.004231871551299884E0	2.9298011714350753E0	1.5508027606482844E0	2.9298011714350753E0	13364.804287767962E0	4561.676203711642E0	1.7847860574816186E0	4.809391505587074E0
