microRNA ID	Chromosome	Start	Stop	Length	Strand	Total counts	Maximum counts	Geometric mean	Arithmetic mean	P-value (EV CL1-0 vs. CE CL1-0)	FDR step up (EV CL1-0 vs. CE CL1-0)	Ratio (EV CL1-0 vs. CE CL1-0)	Log2(Ratio) (EV CL1-0 vs. CE CL1-0)	Fold change (EV CL1-0 vs. CE CL1-0)	LSMean(EV CL1-0) (EV CL1-0 vs. CE CL1-0)	LSMean(CE CL1-0) (EV CL1-0 vs. CE CL1-0)	FC 95% lower limit (EV CL1-0 vs. CE CL1-0)	FC 95% upper limit (EV CL1-0 vs. CE CL1-0)
hsa-miR-17-5p	13	91350618	91350641	23	+	12706.67459440427E0	3100.2829540260764E0	1294.6533741491492E0	1588.3343243005338E0	0.002977711822686423E0	0.007337932705905828E0	0.25806721681940775E0	-1.9541812124095062E0	-3.8749594478704656E0	473.78531971070333E0	1835.8989012952716E0	-8.319425291149825E0	-1.8048495175037895E0
hsa-miR-192-5p	11	64891203	64891224	21	-	9741.127520142816E0	3882.1058847058603E0	578.2778287873692E0	1217.640940017852E0	0.0027302062701551415E0	0.006977193801507583E0	0.10036653765692172E0	-3.316649741964781E0	-9.96348009351736E0	376.1684258720643E0	3747.9466244411296E0	-34.77269236790883E0	-2.85485330050348E0
hsa-miR-193a-5p	17	31560016	31560038	22	+	2839.733529506572E0	1121.4254563578593E0	200.878672312516E0	354.9666911883215E0	0.002549207172519592E0	0.006687016384448808E0	8.525018505682967E0	3.091702965870308E0	8.525018505682967E0	418.0750133040175E0	49.0409508054463E0	2.8741536457278536E0	25.286031813317532E0
hsa-miR-196a-5p	12	53991762	53991784	22	+	20818.891553071822E0	4315.43509109437E0	1812.8123706897275E0	2602.361444133978E0	0.002436969910707945E0	0.006594153876033263E0	0.12737030200934246E0	-2.9728991606086934E0	-7.851123725267223E0	515.6919071426546E0	4048.7609685049256E0	-30.040117453478764E0	-2.0519275214190515E0
hsa-miR-199a-3p	1	172144554	172144576	22	-	28945.663635724566E0	11383.224921667414E0	920.3178408506359E0	3618.2079544655708E0	0.02122666817941851E0	0.03661600260949693E0	0.3514027909580546E0	-1.5088024451308435E0	-2.8457372158986796E0	3665.058225897519E0	10429.792593714183E0	-7.137920307610534E0	-1.1345349839947572E0
hsa-miR-199b-3p	9	128244745	128244767	22	-	28361.20507255452E0	11137.989162007982E0	747.0117665304028E0	3545.150634069315E0	0.029738187757634465E0	0.04944421578980188E0	0.3535866415576974E0	-1.4998643238981444E0	-2.828161142045923E0	3650.759076415031E0	10324.934960701154E0	-7.090810264879697E0	-1.1280086684866617E0
hsa-miR-19a-3p	13	91350939	91350962	23	+	35178.191427317885E0	11441.669952096685E0	2118.410596816546E0	4397.273928414736E0	3.3054953637910196E-4	0.0014714785813005184E0	0.0794695670314021E0	-3.6534537054611795E0	-12.58343334882967E0	529.4956261173902E0	6662.872922594404E0	-33.515449749206816E0	-4.724471729584534E0
hsa-miR-19b-3p	13	91351245	91351268	23	+	105046.51199220424E0	37567.150647487855E0	5456.392411431377E0	13130.81399902553E0	3.8083091452856374E-6	8.790616019067002E-5	0.0329711106301748E0	-4.922653704839266E0	-30.329581894181356E0	1114.7015586414564E0	33808.43222986863E0	-61.351240792721484E0	-14.993723451881442E0
hsa-miR-200c-3p	12	6963742	6963765	23	+	5932.748259200098E0	4599.8160073597055E0	193.14948674016446E0	741.5935324000122E0	0.0012378834072096071E0	0.0038824525044301316E0	35.670851506817975E0	5.156673749996853E0	35.670851506817975E0	2578.459535713279E0	72.28477665199722E0	8.189315402051733E0	155.37436095118176E0
hsa-miR-203a-3p	14	104117469	104117491	22	+	36246.2592744802E0	27973.334994704383E0	919.8679845629423E0	4530.782409310025E0	0.005817374598071818E0	0.01248019717996294E0	11.741597888229336E0	3.553556849890523E0	11.741597888229336E0	696.6265453374435E0	59.32979068769055E0	2.539724020638694E0	54.28350476214381E0
hsa-miR-20a-5p	13	91351072	91351095	23	+	92202.87572245856E0	20325.24012713742E0	9185.377200715984E0	11525.35946530732E0	7.453140890048859E-4	0.0025713336070668563E0	0.23265707139113712E0	-2.1037230577776476E0	-4.2981715278227055E0	2912.2259436456297E0	12517.246636646621E0	-8.143981924331289E0	-2.268457697258791E0
hsa-miR-20b-5p	X	134169850	134169873	23	-	179133.23419911083E0	88857.05200200269E0	5651.279181370552E0	22391.654274888853E0	1.3473465833631787E-5	2.0659314278235406E-4	0.08399435974441223E0	-3.5735637361924555E0	-11.905561314389631E0	6715.816789798235E0	79955.56860059564E0	-21.790724163838632E0	-6.504712241087897E0
hsa-miR-21-3p	17	59841311	59841332	21	+	24353.319578873085E0	9407.513550557598E0	2067.3443001044766E0	3044.1649473591356E0	0.005576957792979438E0	0.012216193260812103E0	0.2458521216245446E0	-2.02413728968205E0	-4.067485744650842E0	543.2993450921203E0	2209.8623417639283E0	-10.260911368670923E0	-1.6123753230587339E0
hsa-miR-21-5p	17	59841273	59841295	22	+	720375.9753302493E0	152687.8315444615E0	74040.93599174259E0	90046.99691628116E0	3.289770719258947E-5	3.7832363271477886E-4	0.20412170754123787E0	-2.2924984794114116E0	-4.899037990841685E0	29439.24954236741E0	144224.0019686286E0	-7.6171487634122075E0	-3.150860509774099E0
hsa-miR-22-3p	17	1713914	1713936	22	-	6840.208304291567E0	2118.248084231512E0	651.864150067052E0	855.0260380364459E0	0.0011492098332757225E0	0.003688161790512784E0	4.334302376317756E0	2.1157998044692055E0	4.334302376317756E0	849.9537455827672E0	196.09931923908607E0	2.1856825571215897E0	8.595107751646237E0
hsa-miR-221-5p	X	45746221	45746243	22	-	1937.1361935337052E0	934.5212136315495E0	68.36063497806386E0	242.14202419171315E0	5.039870316018887E-5	3.912409883861238E-4	74.13077868215326E0	6.212000760665891E0	74.13077868215326E0	320.45811946537924E0	4.322875395743154E0	20.874370437142495E0	263.25930952361944E0
hsa-miR-23b-3p	9	95085265	95085288	23	+	13589.652586197992E0	3862.6876830104047E0	1300.7659782904416E0	1698.706573274749E0	0.005335411585334664E0	0.012070275389773502E0	4.592405310354286E0	2.199249975078458E0	4.592405310354286E0	2355.122879578781E0	512.8299267624552E0	1.933321122791372E0	10.908786070738087E0
hsa-miR-25-3p	7	100093571	100093593	22	-	203028.1667998671E0	39565.5546935609E0	22501.33206548237E0	25378.520849983386E0	0.002079230078256816E0	0.005738675015988812E0	0.35557033245727904E0	-1.4917931391176014E0	-2.8123831172561276E0	9782.360794704713E0	27511.746350739886E0	-4.922272499873556E0	-1.6068795050315623E0
hsa-miR-25-5p	7	100093610	100093631	21	-	22448.93186027503E0	13644.009719020622E0	553.7546849126786E0	2806.116482534379E0	1.0423676698086967E-4	6.25420601885218E-4	12.11055748840756E0	3.598193373400092E0	12.11055748840756E0	1226.122171454832E0	101.24407337251614E0	5.381900236700658E0	27.25163905489576E0
hsa-miR-27a-3p	19	13836447	13836468	21	-	50391.78804351899E0	10343.949105246616E0	5779.579452096524E0	6298.973505439873E0	0.007024623520643463E0	0.014468627549982058E0	0.40457489592826656E0	-1.305521292152388E0	-2.4717302286034717E0	3803.590846152598E0	9401.45047311153E0	-4.418455201620901E0	-1.3827118402718965E0
hsa-miR-27a-5p	19	13836487	13836509	22	-	6368.919938465481E0	2492.056569684132E0	550.414058703798E0	796.1149923081852E0	0.003319474348323049E0	0.008036622106466329E0	3.6389224013594625E0	1.8635112865828405E0	3.6389224013594625E0	640.9162389307585E0	176.12803135112608E0	1.769575552443385E0	7.483012649463787E0
hsa-miR-296-5p	20	58817661	58817682	21	-	1229.1076640344033E0	355.5727954486682E0	102.79878131094428E0	153.63845800430042E0	0.001688756101756795E0	0.004756088613110974E0	10.617399724056842E0	3.4083585781157364E0	10.617399724056842E0	264.74781305869396E0	24.935277924330705E0	3.2959894682185626E0	34.20192266613367E0
hsa-miR-29a-3p	7	130876748	130876770	22	-	459741.19222068187E0	110758.88200014654E0	44939.19744599501E0	57467.649027585234E0	7.916838349934682E-4	0.0026646919324170393E0	0.25647966266328726E0	-1.9630836617959981E0	-3.8989446165672184E0	17986.074985969914E0	70126.7102558359E0	-7.15462095501671E0	-2.124748357549151E0
hsa-miR-29b-3p	1	207802450	207802473	23	-	89433.80835026425E0	23937.701268931927E0	6899.0059215557285E0	11179.226043783032E0	2.1429149889601348E-4	0.0010587679389932553E0	0.14704468947703556E0	-2.7656734126922435E0	-6.8006536214024464E0	2368.4311680457613E0	16106.880005227164E0	-13.70933262485239E0	-3.3735332669989955E0
hsa-miR-29c-3p	1	207801865	207801887	22	-	35986.30144586749E0	9797.7361605391E0	3285.131317118985E0	4498.287680733436E0	2.4634110721666856E-4	0.0011722438895138021E0	0.22483085272660433E0	-2.1530880699091144E0	-4.447788138828108E0	2076.0759170375986E0	9233.94584143373E0	-7.704373221763109E0	-2.5677389657108023E0
hsa-miR-301a-3p	17	59151149	59151172	23	-	11115.608156668686E0	3029.733050161427E0	948.4570448454053E0	1389.4510195835858E0	0.03216439878371683E0	0.05200480614594041E0	0.30871342847959626E0	-1.6956598559266656E0	-3.2392500868037E0	822.3463076333027E0	2663.7853489125964E0	-16.882343758298454E0	1.6089545674869854E0
hsa-miR-30a-3p	6	71403554	71403576	22	-	22418.45424799245E0	9492.7667355549E0	636.268676738541E0	2802.306780999056E0	0.005556412405441708E0	0.012216193260812103E0	0.31787845034815454E0	-1.653452878441799E0	-3.145856533856749E0	2661.281849561672E0	8372.010896498306E0	-6.319699227007156E0	-1.565962710585497E0
hsa-miR-30a-5p	6	71403595	71403617	22	-	20024.3760414882E0	8120.160760373711E0	673.8993983914842E0	2503.047005186025E0	0.04692818307502153E0	0.06915009350795012E0	0.46399721780220476E0	-1.1078119401271782E0	-2.1551853365342493E0	3079.3568628656894E0	6636.584757664833E0	-4.489565451269814E0	-1.034582051476389E0
hsa-miR-30c-5p	1	40757300	40757323	23	+	9733.356475866925E0	4058.294682907782E0	789.4263635036473E0	1216.6695594833657E0	3.8905458159945865E-4	0.0016269555230522816E0	0.19111550858200396E0	-2.3874832404520645E0	-5.232437741026754E0	640.9162389307585E0	3353.5543183554214E0	-9.966303418768073E0	-2.7470972499355617E0
hsa-miR-30d-5p	8	134804919	134804941	22	-	9106.280287378533E0	4293.161606869058E0	796.6219200781778E0	1138.2850359223166E0	0.04544014013822229E0	0.06816021020733344E0	5.624051131991641E0	2.4916097109708026E0	5.624051131991641E0	2480.8426418746403E0	441.1131020909754E0	1.5146757275217666E0	20.882325213600506E0
hsa-miR-30e-3p	1	40754413	40754435	22	+	18170.128815911612E0	3458.1737730206632E0	2005.6924300844478E0	2271.2661019889515E0	4.966803753096503E-4	0.0019039414386869931E0	0.25948818693367115E0	-1.946259232759441E0	-3.85373997875138E0	849.9537455827685E0	3275.5007301880114E0	-6.700528609123375E0	-2.216438834930916E0
hsa-miR-30e-5p	1	40754371	40754393	22	+	7630.84109212793E0	2152.3604537099645E0	779.8990953468062E0	953.8551365159913E0	0.03430659158932142E0	0.054216539106450926E0	0.432021112299359E0	-1.2108262781807042E0	-2.3147016928817896E0	836.1500266080352E0	1935.4378823670863E0	-5.498724862917065E0	1.026294333654721E0
hsa-miR-3182	16	83508349	83508366	17	+	50598.30180743065E0	20247.959628683573E0	731.7776908978718E0	6324.787725928832E0	4.3748284402681346E-5	3.912409883861238E-4	225.9415074653744E0	7.819805520769706E0	225.9415074653744E0	14183.970431340593E0	62.77717882594516E0	47.400679033573915E0	1076.9796095023746E0
hsa-miR-320a-3p	8	22244975	22244997	22	-	19799.37409203822E0	9282.910722073391E0	1208.7341665088786E0	2474.9217615047774E0	0.0014425783566235073E0	0.004235655600298809E0	4.014693692966306E0	2.0052899193749507E0	4.014693692966306E0	1713.7112101402663E0	426.8597658497365E0	2.051134340964963E0	7.857976499365114E0
hsa-miR-320c	18	21683559	21683579	20	+	1034.6430683746155E0	373.8084854526198E0	43.05904136847069E0	129.33038354682694E0	9.10349603539871E-4	0.0029911486973452904E0	26.452072052159576E0	4.72530883130194E0	26.452072052159576E0	264.74781305869396E0	10.008585051114864E0	6.085141474379255E0	114.98699229897842E0
hsa-miR-331-3p	12	95308480	95308501	21	+	1324.4468418978877E0	306.65440049064705E0	152.8102043634406E0	165.55585523723596E0	0.027173686566442493E0	0.04573132617279346E0	2.8040488769734733E0	1.4875114969778782E0	2.8040488769734733E0	264.74781305869396E0	94.4162618514516E0	1.1667850126200907E0	6.738765084752007E0
hsa-miR-340-5p	5	180015361	180015383	22	-	15025.208182995328E0	3801.5385448099487E0	1034.261599376566E0	1878.151022874416E0	4.11175915727872E-5	3.912409883861238E-4	0.05838196356324676E0	-4.098333455890354E0	-17.128577714188612E0	209.03750665200823E0	3580.5151795868105E0	-39.85538328187628E0	-7.361318606222345E0
hsa-miR-342-3p	14	100109715	100109738	23	+	5790.248579235033E0	1744.4395987788923E0	483.4435253344134E0	723.7810724043791E0	0.011783779246868738E0	0.021975155892809267E0	3.03071902085562E0	1.5996601055011643E0	3.03071902085562E0	1003.2809458280908E0	331.0372682971408E0	1.3919997682388405E0	6.598605828072258E0
hsa-miR-345-5p	14	100307876	100307898	22	+	1308.995171040393E0	436.1098996947231E0	119.32376104432272E0	163.62439638004912E0	0.032408792235875915E0	0.05200480614594041E0	4.1448837748774165E0	2.051331648220701E0	4.1448837748774165E0	264.74781305869396E0	63.873398477368255E0	1.173564551173898E0	14.639213062508675E0
hsa-miR-34a-5p	1	9151735	9151757	22	-	6025.654916622976E0	2896.935933147632E0	194.03764527395825E0	753.206864577872E0	2.0866285192356567E-6	8.790616019067002E-5	459.81130263873854E0	8.844898119207162E0	459.81130263873854E0	1908.4495673097867E0	4.1505059888302185E0	144.3155429245819E0	1465.0288510144974E0
hsa-miR-361-5p	X	85903681	85903703	22	-	13090.90156293055E0	3329.454357382984E0	1342.719602445039E0	1636.3626953663188E0	0.0034350388072095796E0	0.008173023368877964E0	0.22565152025348525E0	-2.1478315966171486E0	-4.431612066591227E0	473.78531971070333E0	2099.632740331609E0	-10.492855619183565E0	-1.8716721378355408E0
hsa-miR-363-3p	X	134169382	134169404	22	-	35048.242523386085E0	14602.30578747243E0	1686.121380034716E0	4381.030315423261E0	0.011241119861640437E0	0.021250336176799733E0	0.2991128310308728E0	-1.7412382958725394E0	-3.3432200034801762E0	3804.5817071681104E0	12719.553670871672E0	-8.713270801926795E0	-1.2827697251413737E0
hsa-miR-365b-3p	17	31575478	31575500	22	+	3722.3557201922395E0	832.306689846386E0	407.4511574819517E0	465.29446502402993E0	0.031197645228207005E0	0.051253274303482935E0	0.4067442357279952E0	-1.297806194338206E0	-2.4585474412690553E0	209.03750665200857E0	513.9286271866315E0	-6.06924833122901E0	1.0041017441806586E0
hsa-miR-374a-5p	X	74287325	74287347	22	-	27171.264779903555E0	6586.444024994854E0	2054.902827474673E0	3396.4080974879444E0	7.181919439832621E-5	4.786588161773406E-4	0.09711517139205862E0	-3.364159497813646E0	-10.297052310837735E0	585.2059325240734E0	6025.896102185891E0	-21.118299610938198E0	-5.020730278739441E0
hsa-miR-375-3p	2	219001648	219001670	22	-	10066.619234369397E0	9506.286415210057E0	87.24402308487782E0	1258.3274042961746E0	0.01650318930574361E0	0.028828356002438202E0	102.67285352559509E0	6.681910976484447E0	102.67285352559509E0	4864.563820418399E0	47.37925994626154E0	7.420261359351046E0	1420.6662461833082E0
hsa-miR-411-5p	14	101023340	101023361	21	+	4442.139095266836E0	1307.659296836567E0	132.2248903273891E0	555.2673869083545E0	7.052108813113906E-6	1.2164887702621487E-4	338.37827388175816E0	8.402493130663808E0	338.37827388175816E0	487.58903868543507E0	1.4409584652478316E0	92.8942031405106E0	1232.5834375478425E0
hsa-miR-423-3p	17	30117131	30117154	23	+	16784.085272479824E0	9719.020621768115E0	919.2697625325018E0	2098.010659059978E0	0.03457286551715711E0	0.054216539106450926E0	3.5261186561775606E0	1.8180810230978754E0	3.5261186561775606E0	1142.3089965909257E0	323.9564823907913E0	1.2477189802211925E0	9.964994501597836E0
hsa-miR-423-5p	17	30117095	30117118	23	+	29388.612497306796E0	13394.80406205221E0	1918.7609154543202E0	3673.5765621633495E0	4.9071964205498E-4	0.0019039414386869931E0	6.22469493302265E0	2.6380031336626293E0	6.22469493302265E0	3747.880539745912E0	602.0986697204571E0	2.9475307824836685E0	13.145520731949315E0
hsa-miR-425-5p	3	49020199	49020222	23	-	10464.12692134597E0	3066.5440049064705E0	979.3639242561316E0	1308.0158651682461E0	0.0016495504623275498E0	0.004742457579191706E0	3.7690739909366555E0	1.9142101169204453E0	3.7690739909366555E0	2647.47813058694E0	702.4213736212175E0	1.9560422045574513E0	7.262582942257739E0
hsa-miR-4443	3	48196572	48196589	17	+	7468.5178227265915E0	3676.8802228412255E0	80.3259340867613E0	933.5647278408239E0	3.82200696481174E-6	8.790616019067002E-5	317.43370596016996E0	8.310311515300684E0	317.43370596016996E0	3525.0393141191716E0	11.104804702536768E0	96.35785852093149E0	1045.7284878090043E0
hsa-miR-4454	4	163093607	163093627	20	-	3832.447494134671E0	1839.9264029438823E0	56.74012277210992E0	479.0559367668339E0	2.9254072591504627E-4	0.001345687339209213E0	152.0833271486817E0	7.248718189264656E0	152.0833271486817E0	1755.6177975722196E0	11.543788717656355E0	22.252771270740066E0	1039.3913690662637E0
hsa-miR-4488	11	61508599	61508617	18	+	4134.627106306007E0	1308.3296990841693E0	45.96470796449303E0	516.8283882882508E0	1.1559273163696038E-4	6.380718786360214E-4	323.0139100763067E0	8.335452483381237E0	323.0139100763067E0	905.6640519894524E0	2.8037927248763026E0	42.99101415401144E0	2426.9719650949123E0
hsa-miR-4516	16	2133120	2133137	17	+	30232.740858889625E0	14261.83844011142E0	260.514892841761E0	3779.092607361203E0	6.602837114815873E-6	1.2164887702621487E-4	2043.5624571245137E0	10.996870621588965E0	2043.5624571245137E0	9890.808824471533E0	4.839983616481732E0	373.90158172791615E0	11169.108985496932E0
hsa-miR-455-3p	9	114209487	114209508	21	+	1537.6379076263686E0	373.8084854526198E0	137.58338529559384E0	192.20473845329607E0	0.0058783537441854435E0	0.01248019717996294E0	6.823016802317405E0	2.7704097690747664E0	6.823016802317405E0	209.03750665200863E0	30.637108575377056E0	2.1834702348423805E0	21.32090355152756E0
hsa-miR-501-3p	X	50009772	50009794	22	+	1956.157168425049E0	919.9632014719411E0	62.38609762146783E0	244.5196460531311E0	9.239146973275756E-5	5.795464919600247E-4	51.169131619908704E0	5.677201844782477E0	51.169131619908704E0	794.243439176082E0	15.521925299573667E0	14.597604838762537E0	179.36367367494088E0
hsa-miR-532-5p	X	50003167	50003189	22	+	22612.35820280635E0	5592.190328419964E0	2280.908593814378E0	2826.5447753507938E0	0.0025682019447520786E0	0.006687016384448808E0	0.21329090479633206E0	-2.229105647657031E0	-4.688432453108506E0	836.1500266080348E0	3920.2329214395413E0	-11.424212656895186E0	-1.9241062406251666E0
