microRNA ID	Chromosome	Start	Stop	Length	Strand	Total counts	Maximum counts	Geometric mean	Arithmetic mean	P-value (EV CL1-5 vs. EV CL1-0)	FDR step up (EV CL1-5 vs. EV CL1-0)	Ratio (EV CL1-5 vs. EV CL1-0)	Log2(Ratio) (EV CL1-5 vs. EV CL1-0)	Fold change (EV CL1-5 vs. EV CL1-0)	LSMean(EV CL1-5) (EV CL1-5 vs. EV CL1-0)	LSMean(EV CL1-0) (EV CL1-5 vs. EV CL1-0)	FC 95% lower limit (EV CL1-5 vs. EV CL1-0)	FC 95% upper limit (EV CL1-5 vs. EV CL1-0)	P-value (CE CL1-5 vs. CE CL1-0)	FDR step up (CE CL1-5 vs. CE CL1-0)	Ratio (CE CL1-5 vs. CE CL1-0)	Log2(Ratio) (CE CL1-5 vs. CE CL1-0)	Fold change (CE CL1-5 vs. CE CL1-0)	LSMean(CE CL1-5) (CE CL1-5 vs. CE CL1-0)	LSMean(CE CL1-0) (CE CL1-5 vs. CE CL1-0)	FC 95% lower limit (CE CL1-5 vs. CE CL1-0)	FC 95% upper limit (CE CL1-5 vs. CE CL1-0)	P-value (EV CL1-0 vs. CE CL1-0)	FDR step up (EV CL1-0 vs. CE CL1-0)	Ratio (EV CL1-0 vs. CE CL1-0)	Log2(Ratio) (EV CL1-0 vs. CE CL1-0)	Fold change (EV CL1-0 vs. CE CL1-0)	LSMean(EV CL1-0) (EV CL1-0 vs. CE CL1-0)	LSMean(CE CL1-0) (EV CL1-0 vs. CE CL1-0)	FC 95% lower limit (EV CL1-0 vs. CE CL1-0)	FC 95% upper limit (EV CL1-0 vs. CE CL1-0)	P-value (EV CL1-5 vs. CE CL1-5)	FDR step up (EV CL1-5 vs. CE CL1-5)	Ratio (EV CL1-5 vs. CE CL1-5)	Log2(Ratio) (EV CL1-5 vs. CE CL1-5)	Fold change (EV CL1-5 vs. CE CL1-5)	LSMean(EV CL1-5) (EV CL1-5 vs. CE CL1-5)	LSMean(CE CL1-5) (EV CL1-5 vs. CE CL1-5)	FC 95% lower limit (EV CL1-5 vs. CE CL1-5)	FC 95% upper limit (EV CL1-5 vs. CE CL1-5)
hsa-miR-103a-3p	5	168560904	168560927	23	-	77345.29681782571E0	12029.647336692033E0	9439.478117935028E0	9668.162102228214E0	0.240658585650033E0	0.3731560092101635E0	1.3177604698578504E0	0.39808815459978764E0	1.3177604698578504E0	10320.05325602867E0	7831.509209455207E0	-1.3912446245957102E0	2.4158860731986045E0	0.5960956211556482E0	0.7308628012342256E0	0.8616961027816159E0	-0.2147489359120537E0	-1.1605019411970523E0	9498.295535796624E0	11022.790407632361E0	-2.12757973985996E0	1.5797708776802073E0	0.17045819268207826E0	0.21780769064932223E0	0.7104833640386191E0	-0.49312722571483036E0	-1.407492491190327E0	7831.509209455207E0	11022.790407632361E0	-2.5803942259439014E0	1.3025484552631563E0	0.7622623528950402E0	0.7909188323271845E0	1.0865163351667089E0	0.11970986479701108E0	1.0865163351667089E0	10320.05325602867E0	9498.295535796624E0	-1.6873443231878849E0	1.991939918121229E0
hsa-miR-106b-3p	7	100094002	100094024	22	-	16281.131440517123E0	8348.389508441842E0	944.384976061087E0	2035.1414300646404E0	3.1212413982260575E-4	0.0026920707059699747E0	7.508378437865956E0	2.908501366827451E0	7.508378437865956E0	6485.417924637264E0	863.7574645574987E0	3.4773916134695604E0	16.21207877417109E0	0.7949501226474107E0	0.8570556009792397E0	0.9146033659598295E0	-0.12878186626881635E0	-1.0933701287558144E0	378.0460608406247E0	413.3442702231732E0	-2.3608030420151427E0	1.974810132276326E0	0.07010345646012911E0	0.09771996961108907E0	2.0896805076882603E0	1.0632823847904347E0	2.0896805076882603E0	863.7574645574987E0	413.3442702231732E0	-1.0332672390115265E0	4.512034826673013E0	3.128531853353937E-5	8.208021858720892E-4	17.155099849746723E0	4.100565617886701E0	17.155099849746723E0	6485.417924637264E0	378.0460608406247E0	7.945124348673269E0	37.0412642948658E0
hsa-miR-107	10	89592756	89592779	23	-	7760.423228145632E0	1455.938514871287E0	886.319816565465E0	970.052903518204E0	0.3563246215186337E0	0.4846774794643361E0	1.447419794418709E0	0.533483406659908E0	1.447419794418709E0	766.4024503482945E0	529.495626117388E0	-1.4593312557673128E0	3.0573340942033247E0	0.5027352894804645E0	0.6511970516782041E0	0.798799820711672E0	-0.3240940859142033E0	-1.251878097705472E0	1147.6258595817822E0	1436.6876780253515E0	-2.6442982227132297E0	1.6872768603293122E0	0.014316116782613193E0	0.02565745605195611E0	0.36855305039882075E0	-1.4400557956791542E0	-2.713313589231928E0	529.495626117388E0	1436.6876780253515E0	-5.731237182613967E0	-1.2845517292224282E0	0.18843563774000568E0	0.24302914026281106E0	0.667815598613159E0	-0.5824783031050426E0	-1.4974193506061892E0	766.4024503482945E0	1147.6258595817822E0	-3.162946404064272E0	1.4106034794838387E0
hsa-miR-10a-5p	17	48579904	48579927	23	-	16406.23357443106E0	6133.088009812941E0	1237.0828006830473E0	2050.7791968038823E0	0.7953415528395057E0	0.8475903606991426E0	0.8137910385079088E0	-0.2972697013906864E0	-1.2288166773543077E0	2812.881867029191E0	3456.5161497532677E0	-5.016455494813102E0	3.3221770195552005E0	0.013577528878175904E0	0.05677875712691741E0	6.831758139485549E0	2.772256901020873E0	6.831758139485549E0	1686.8114048778943E0	246.90736555517742E0	1.6734880526959908E0	27.88960411234304E0	0.007226898248461319E0	0.014666352327759737E0	13.99924275422397E0	3.807276886038154E0	13.99924275422397E0	3456.5161497532677E0	246.90736555517742E0	3.429214708375038E0	57.14976003487354E0	0.5069912722016849E0	0.5830399630319377E0	1.6675734220506413E0	0.737750283626594E0	1.6675734220506413E0	2812.881867029191E0	1686.8114048778943E0	-2.4480760323779527E0	6.807612567613482E0
hsa-miR-10b-5p	2	176150329	176150352	23	+	9399.8737035905E0	2759.6040648976336E0	356.55764183388123E0	1174.9842129488125E0	1.4953696480743832E-5	6.878700381142162E-4	0.0408221246278182E0	-4.614504918960922E0	-24.496520186471404E0	79.6379065004155E0	1950.851585249496E0	-54.03930521486418E0	-11.104500675207456E0	2.139957666812242E-6	2.953141580200894E-5	0.01599985339562563E0	-5.965797503810391E0	-62.5005726785847E0	42.0381619504799E0	2627.4091980948583E0	-137.8762165961479E0	-28.3320915063475E0	0.3630240241575133E0	0.4106337322437445E0	0.7425000973438591E0	-0.42953687983255334E0	-1.3468011702318876E0	1950.851585249496E0	2627.4091980948583E0	-2.971042374503921E0	1.6379546595597847E0	0.11092696622396374E0	0.15620327896843872E0	1.8944193275061543E0	0.9217557050169167E0	1.8944193275061543E0	79.6379065004155E0	42.0381619504799E0	-1.164472522134741E0	4.17908761998694E0
hsa-miR-125a-5p	19	51693268	51693292	24	+	94819.66591346462E0	18319.980372862847E0	11145.311889338873E0	11852.458239183077E0	0.007587748314873251E0	0.025539250425670942E0	2.1659285755686546E0	1.1149856689056659E0	2.1659285755686546E0	14334.548275355239E0	6618.199895959595E0	1.3204383702478366E0	3.5527948143345367E0	0.07046485103058636E0	0.19845202943307996E0	1.5780802233223006E0	0.658170548093686E0	1.5780802233223006E0	16194.764573335287E0	10262.320212082188E0	-1.0394339985997971E0	2.5885411445533806E0	0.07502998347713756E0	0.10251621504797014E0	0.644902883527062E0	-0.6328461746661489E0	-1.550621071084166E0	6618.199895959595E0	10262.320212082188E0	-2.543499616047735E0	1.0578408014875513E0	0.5737647362053845E0	0.6385446257769601E0	0.8851347119458881E0	-0.17603105385416937E0	-1.1297715325180175E0	14334.548275355239E0	16194.764573335287E0	-1.8531758098528153E0	1.4518955288094941E0
hsa-miR-125b-1-3p	11	122099769	122099791	22	-	9611.659796173091E0	6043.23718148402E0	528.8274253510483E0	1201.4574745216364E0	0.004355292879941255E0	0.01821304295248161E0	7.754996687179826E0	2.9551261649634606E0	7.754996687179826E0	3781.25138101871E0	487.5890386854344E0	2.544217941403044E0	23.63790170625283E0	0.07559832919031736E0	0.20456018486791758E0	2.6789639149430435E0	1.4216751485250714E0	2.6789639149430435E0	391.0273296001824E0	145.96214878221826E0	-1.1377856235755126E0	8.165714087371278E0	0.04710223760686458E0	0.06915009350795012E0	3.3405169946739046E0	1.7400713984874505E0	3.3405169946739046E0	487.5890386854344E0	145.96214878221826E0	1.0959389944629188E0	10.182185183741764E0	0.0028636085923765724E0	0.008408042249956744E0	9.670043736932831E0	3.2735224149258397E0	9.670043736932831E0	3781.25138101871E0	391.0273296001824E0	3.1724963610014965E0	29.47513101155288E0
hsa-miR-125b-5p	11	122099809	122099831	22	-	322201.89344539575E0	62746.952003355844E0	36547.50359764362E0	40275.23668067447E0	0.028752131955229118E0	0.06725074931901048E0	1.8141157420308949E0	0.8592665038968312E0	1.8141157420308949E0	34402.4015157143E0	18963.73021587958E0	1.1021016483916843E0	2.9861273960409553E0	0.20466504550095665E0	0.41534965116370615E0	0.7502278732547466E0	-0.41459923036921587E0	-1.3329283483718832E0	46180.0788109516E0	61554.73618015241E0	-2.194068308771182E0	1.234913491843448E0	6.049814042871957E-4	0.0021407034305546925E0	0.3080791405579087E0	-1.6986270912911263E0	-3.245919208256273E0	18963.73021587958E0	61554.73618015241E0	-5.34294921131033E0	-1.9719430392906796E0	0.19293097893881067E0	0.24652291753292474E0	0.7449619490312838E0	-0.42476135702507894E0	-1.3423504399122086E0	34402.4015157143E0	46180.0788109516E0	-2.2095775538676787E0	1.2262455109506996E0
hsa-miR-126-3p	9	136670653	136670675	22	+	268415.6918718229E0	187298.05013927576E0	13670.576630911963E0	33551.961483977866E0	0.3061285826175481E0	0.44005983751272537E0	0.08037508066935889E0	-3.637107909356216E0	-12.441667139517119E0	7650.284802207187E0	95182.2970720911E0	-139.50649842732497E0	-1.1095904703764004E0	0.35672541182257633E0	0.5658403084082245E0	0.3590758393762776E0	-1.477639511182117E0	-2.784926999647265E0	8289.529510224154E0	23085.73455138901E0	-31.226957749296044E0	4.026262112585441E0	0.9721126299302585E0	0.9737534105200312E0	4.122991921155676E0	2.0436916343232223E0	4.122991921155676E0	95182.2970720911E0	23085.73455138901E0	-2.7195896279741114E0	46.230473739140855E0	0.9388244342628914E0	0.952630675943228E0	0.9228852847287826E0	-0.1157767638508765E0	-1.083558288930655E0	7650.284802207187E0	8289.529510224154E0	-12.149772296229928E0	10.348170633313876E0
hsa-miR-126-5p	9	136670616	136670637	21	+	102752.15488733156E0	63955.43175487465E0	4871.033976561586E0	12844.019360916445E0	0.6211573966193573E0	0.7270569127469921E0	0.06899702448301004E0	-3.8573220431906936E0	-14.493378627454318E0	2216.946364894534E0	32131.043077682647E0	-330.508811932019E0	1.5734167425618066E0	0.49459107243602535E0	0.6511970516782041E0	0.37947334882922923E0	-1.3979295290412617E0	-2.635231177855445E0	4684.182976531966E0	12343.905024556634E0	-60.09414009990569E0	8.653557524802094E0	0.47171419051686325E0	0.520772466330617E0	2.602988520129659E0	1.3801689490879598E0	2.602988520129659E0	32131.043077682647E0	12343.905024556634E0	-8.760747276591205E0	59.358874516055295E0	0.5949223781870269E0	0.6567943055184777E0	0.4732834682764588E0	-1.0792235650614725E0	-2.112898647488508E0	2216.946364894534E0	4684.182976531966E0	-48.182804000674516E0	10.792815176359806E0
hsa-miR-128-3p	2	135665446	135665467	21	+	18715.136058433498E0	4694.625241877648E0	1940.5041808651733E0	2339.3920073041872E0	0.28159978858576096E0	0.4090607455245791E0	1.4940238298311592E0	0.5792031594424523E0	1.4940238298311592E0	1644.7676067832467E0	1100.897839666728E0	-1.5413718354561192E0	3.4405071781236303E0	0.04383745442778411E0	0.141051467030619E0	0.4214690353931982E0	-1.2465014521556899E0	-2.37265354278536E0	1960.4452393967335E0	4651.457343370039E0	-5.4638563202007395E0	-1.030313482673186E0	0.002949663897022679E0	0.007337932705905828E0	0.23667804704342912E0	-2.0790021990825402E0	-4.225148941745769E0	1100.897839666728E0	4651.457343370039E0	-9.72986840802973E0	-1.8347507727034464E0	0.52099509191072E0	0.589322317079339E0	0.8389765619457648E0	-0.2532975874843979E0	-1.1919284105872847E0	1644.7676067832467E0	1960.4452393967335E0	-2.744827873929214E0	1.932034031865539E0
hsa-miR-1292-5p	20	2652779	2652804	25	+	1880.7831747814835E0	919.9632014719411E0	32.830818129869016E0	235.09789684768543E0	0.008663286787149374E0	0.027803106433177065E0	0.09231539301352923E0	-3.4372849614843295E0	-10.832429645329524E0	78.46381403522459E0	849.953745582767E0	-61.0956457442824E0	-1.920620211007348E0	0.12763399130237102E0	0.3036808758573656E0	2.8226240164636502E0	1.4970369694859706E0	2.8226240164636502E0	8.84161722972253E0	3.132410543027433E0	-1.9981650107848927E0	15.91979293892943E0	5.386651289374168E-5	3.912409883861238E-4	271.3417456311521E0	8.083967211526224E0	271.3417456311521E0	849.953745582767E0	3.132410543027433E0	48.1096538645788E0	1530.3860453747507E0	0.029972049473211113E0	0.06173347503437513E0	8.874373541361617E0	3.149645280555923E0	8.874373541361617E0	78.46381403522459E0	8.84161722972253E0	1.573451362402039E0	50.05207509648858E0
hsa-miR-1296-5p	10	63373012	63373034	22	-	2146.2090620870517E0	872.2197993894462E0	174.18358827583717E0	268.27613276088147E0	0.07122294816257829E0	0.14041095494908293E0	2.4408930500387207E0	1.2874090835012768E0	2.4408930500387207E0	646.2210970052997E0	264.74781305869396E0	-1.0400145278851405E0	6.196363793538726E0	0.12406959869187002E0	0.30037902841189584E0	0.49805692564648907E0	-1.0056174496735726E0	-2.0078026195539347E0	53.905006901961315E0	108.23061407757086E0	-5.096935917032028E0	1.2643494974710825E0	0.05987907215699707E0	0.08518878306871747E0	2.4461453469066683E0	1.2905101295527643E0	2.4461453469066683E0	264.74781305869396E0	108.23061407757086E0	-1.037781436930697E0	6.209697086509079E0	3.318155029646668E-4	0.0016959459040416303E0	11.98814607165403E0	3.5835366627276137E0	11.98814607165403E0	646.2210970052997E0	53.905006901961315E0	4.722411950644684E0	30.432678838129426E0
hsa-miR-1307-3p	10	103394301	103394323	22	-	5465.083586426191E0	1744.4395987788923E0	286.82587027436557E0	683.1354483032738E0	0.7287410835736632E0	0.8045301562653242E0	0.9421137097505878E0	-0.08602689641571291E0	-1.061442997432589E0	1260.117394424357E0	1337.542784268202E0	-2.544324670387509E0	2.2582872182742455E0	0.3835345415932003E0	0.5763285961592858E0	0.6998964192340118E0	-0.5147866678507358E0	-1.4287828491742118E0	55.53465373061863E0	79.34696078991783E0	-3.42485414720669E0	1.6776819202541013E0	7.283938507046488E-5	4.786588161773406E-4	16.85688740078514E0	4.0752662642627895E0	16.85688740078514E0	1337.542784268202E0	79.34696078991783E0	7.03236709462394E0	40.406686542284966E0	4.34074046396973E-5	8.208021858720892E-4	22.690650055593085E0	4.504026035697812E0	22.690650055593085E0	1260.117394424357E0	55.53465373061863E0	9.466099939609698E0	54.39046737622075E0
hsa-miR-1307-5p	10	103394341	103394362	21	-	7271.3240625183835E0	1894.150417827298E0	833.5640420736387E0	908.9155078147979E0	0.0797413964294597E0	0.14870692847655997E0	0.4822448475581318E0	-1.0521622706970517E0	-2.0736354262021552E0	678.5458965915424E0	1407.0568096496195E0	-4.679316883378272E0	1.0882223695579154E0	0.20858649593199027E0	0.41717299186398055E0	0.6230278505610837E0	-0.6826314389121E0	-1.6050646838651346E0	595.017595740423E0	955.0417292776069E0	-3.6219511777342372E0	1.4059099796943486E0	0.3849578347351047E0	0.4319039121418248E0	1.4732935393533442E0	0.559044901913933E0	1.4732935393533442E0	1407.0568096496195E0	955.0417292776069E0	-1.531654349133575E0	3.3245995153036842E0	0.7866002368190136E0	0.8088941802669604E0	1.1403795474856953E0	0.18951407012898136E0	1.1403795474856953E0	678.5458965915424E0	595.017595740423E0	-1.97879421993865E0	2.573353639015652E0
hsa-miR-130a-3p	11	57641252	57641274	22	+	55837.8175335275E0	14727.240692945781E0	4769.434144353325E0	6979.727191690938E0	0.5049503621294291E0	0.616409702505726E0	1.2250105175194543E0	0.2927941357650063E0	1.2250105175194543E0	2167.55996776953E0	1769.421516546954E0	-1.474820582421636E0	2.213190639722319E0	0.33403209407877493E0	0.5573471003796447E0	0.765847202827665E0	-0.38487151176026707E0	-1.3057434907482781E0	10400.951961075527E0	13580.975321371741E0	-2.3590485389906393E0	1.383633721111126E0	4.581223782374141E-5	3.912409883861238E-4	0.13028677803216937E0	-2.940237413401119E0	-7.67537592919128E0	1769.421516546954E0	13580.975321371741E0	-13.866876994030678E0	-4.248353517505685E0	2.5102002674865886E-4	0.0014433651538047884E0	0.20840015187604558E0	-2.2625717658758453E0	-4.798460994379651E0	2167.55996776953E0	10400.951961075527E0	-8.66923900321945E0	-2.6559687541238852E0
